DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,CANTIDAD,DATO_PRELIMINAR
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,8475,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,18438,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,13911,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,8143,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,6871,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,7524,NO
10/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,15276,NO
10/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,11339,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,16625,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,15192,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,9444,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,5325,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,14931,NO
10/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5605,NO
10/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,35177,NO
10/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,11157,NO
11/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,6827,NO
11/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,5393,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,882,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,9017,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,12257,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,13761,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2325,NO
11/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,11432,NO
11/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,7861,NO
11/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,5260,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,6873,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,16032,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,14002,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,6504,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,6380,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,8170,NO
11/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,13822,NO
11/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,8713,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,19604,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,11607,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,7139,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,4967,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,12771,NO
11/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5450,NO
11/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,34228,NO
11/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,11822,NO
12/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,4570,NO
