DATE,DAY,MONTH,YEAR,COMPANY,LINE_ID,TICKETS
2020-01-13,13,1,2020,BATAN,715,8828
2020-01-13,13,1,2020,PERALTA RAMOS,717,5677
2020-01-14,14,1,2020,25 DE MAYO,501,906
2020-01-14,14,1,2020,PERALTA RAMOS,511,36489
2020-01-14,14,1,2020,PERALTA RAMOS,512,6566
2020-01-14,14,1,2020,25 DE MAYO,521,8239
2020-01-14,14,1,2020,25 DE MAYO,522,16378
2020-01-14,14,1,2020,25 DE MAYO,523,17284
2020-01-14,14,1,2020,25 DE MAYO,525,2015
2020-01-14,14,1,2020,12 DE OCTUBRE,531,9138
2020-01-14,14,1,2020,12 DE OCTUBRE,532,14891
2020-01-14,14,1,2020,12 DE OCTUBRE,533,4502
2020-01-14,14,1,2020,25 DE MAYO,541,9124
2020-01-14,14,1,2020,25 DE MAYO,542,16240
2020-01-14,14,1,2020,25 DE MAYO,551,22952
2020-01-14,14,1,2020,25 DE MAYO,552,14349
2020-01-14,14,1,2020,25 DE MAYO,553,4428
2020-01-14,14,1,2020,25 DE MAYO,554,7605
2020-01-14,14,1,2020,25 DE MAYO,555,10807
2020-01-14,14,1,2020,EL LIBERTADOR,562,18684
2020-01-14,14,1,2020,EL LIBERTADOR,563,12028
2020-01-14,14,1,2020,25 DE MAYO,571,20034
2020-01-14,14,1,2020,25 DE MAYO,573,17231
2020-01-14,14,1,2020,25 DE MAYO,581,8605
2020-01-14,14,1,2020,25 DE MAYO,591,8039
2020-01-14,14,1,2020,25 DE MAYO,593,5683
2020-01-14,14,1,2020,BATAN,715,8398
2020-01-14,14,1,2020,PERALTA RAMOS,717,5577
2020-01-15,15,1,2020,25 DE MAYO,501,522
2020-01-15,15,1,2020,PERALTA RAMOS,511,38084
2020-01-15,15,1,2020,PERALTA RAMOS,512,6658
2020-01-15,15,1,2020,25 DE MAYO,521,9014
2020-01-15,15,1,2020,25 DE MAYO,522,15313
2020-01-15,15,1,2020,25 DE MAYO,523,17039
2020-01-15,15,1,2020,25 DE MAYO,525,2229
2020-01-15,15,1,2020,12 DE OCTUBRE,531,9157
2020-01-15,15,1,2020,12 DE OCTUBRE,532,14440
2020-01-15,15,1,2020,12 DE OCTUBRE,533,5784
2020-01-15,15,1,2020,25 DE MAYO,541,10444
2020-01-15,15,1,2020,25 DE MAYO,542,16511
2020-01-15,15,1,2020,25 DE MAYO,551,22410
2020-01-15,15,1,2020,25 DE MAYO,552,14485
2020-01-15,15,1,2020,25 DE MAYO,553,6138
2020-01-15,15,1,2020,25 DE MAYO,554,9167
2020-01-15,15,1,2020,25 DE MAYO,555,9286
2020-01-15,15,1,2020,EL LIBERTADOR,562,19516
2020-01-15,15,1,2020,EL LIBERTADOR,563,12430
2020-01-15,15,1,2020,25 DE MAYO,571,21035
2020-01-15,15,1,2020,25 DE MAYO,573,17592
2020-01-15,15,1,2020,25 DE MAYO,581,9362
2020-01-15,15,1,2020,25 DE MAYO,591,9681
2020-01-15,15,1,2020,25 DE MAYO,593,5219
2020-01-15,15,1,2020,BATAN,715,9563
2020-01-15,15,1,2020,PERALTA RAMOS,717,5915
2020-01-16,16,1,2020,25 DE MAYO,501,889
2020-01-16,16,1,2020,PERALTA RAMOS,511,37761
2020-01-16,16,1,2020,PERALTA RAMOS,512,6279
2020-01-16,16,1,2020,25 DE MAYO,521,10886
2020-01-16,16,1,2020,25 DE MAYO,522,13770
2020-01-16,16,1,2020,25 DE MAYO,523,16003
2020-01-16,16,1,2020,25 DE MAYO,525,2548
2020-01-16,16,1,2020,12 DE OCTUBRE,531,10950
2020-01-16,16,1,2020,12 DE OCTUBRE,532,14428
2020-01-16,16,1,2020,12 DE OCTUBRE,533,4276
2020-01-16,16,1,2020,25 DE MAYO,541,8900
2020-01-16,16,1,2020,25 DE MAYO,542,16093
2020-01-16,16,1,2020,25 DE MAYO,551,22495
2020-01-16,16,1,2020,25 DE MAYO,552,14862
2020-01-16,16,1,2020,25 DE MAYO,553,4370
2020-01-16,16,1,2020,25 DE MAYO,554,9452
2020-01-16,16,1,2020,25 DE MAYO,555,10772
2020-01-16,16,1,2020,EL LIBERTADOR,562,20149
2020-01-16,16,1,2020,EL LIBERTADOR,563,11669
2020-01-16,16,1,2020,25 DE MAYO,571,21078
