DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR
05/01/2021,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1175,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,4037,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_543,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1580,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5310,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,6459,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2902,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3769,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3731,NO
05/01/2021,EL LIBERTADOR SRL,BSAS_LINEA_562,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,8010,NO
05/01/2021,EL LIBERTADOR SRL,BSAS_LINEA_563,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3806,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,7631,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5853,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3873,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1887,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3693,NO
05/01/2021,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3016,NO
05/01/2021,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,14034,NO
05/01/2021,TRANSPORTES 25 DE MAYO SRL,LINEA_581,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3402,NO
06/01/2021,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2744,NO
