DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
6,525,0,0,0,2024,0.6234898018587334,0.1457991969198751,1.2246467991473532e-16
7,525,0,0,0,2024,1.0,0.12874817745258132,1.2246467991473532e-16
1,525,1,0,0,2024,0.6234898018587336,0.11165900712169512,1.2246467991473532e-16
2,525,1,0,0,2024,-0.22252093395631434,0.09453674981719912,1.2246467991473532e-16
3,525,1,0,0,2024,-0.900968867902419,0.07738647923346301,1.2246467991473532e-16
4,525,1,0,0,2024,-0.9009688679024191,0.06021327736579302,1.2246467991473532e-16
5,525,1,0,0,2024,-0.2225209339563146,0.04302223300453059,1.2246467991473532e-16
6,525,0,0,0,2024,0.6234898018587334,0.02581844022713308,1.2246467991473532e-16
7,525,0,0,0,2024,1.0,0.008606996888688698,1.2246467991473532e-16
1,525,1,0,0,2024,0.6234898018587336,-0.008606996888688009,-0.4999999999999997
2,525,1,0,0,2024,-0.22252093395631434,-0.02581844022713239,-0.4999999999999997
3,525,1,0,0,2024,-0.900968867902419,-0.04302223300453034,-0.4999999999999997
4,525,1,0,0,2024,-0.9009688679024191,-0.060213277365792774,-0.4999999999999997
5,525,1,0,0,2024,-0.2225209339563146,-0.07738647923346322,-0.4999999999999997
6,525,0,0,0,2024,0.6234898018587334,-0.09453674981719933,-0.4999999999999997
7,525,0,0,0,2024,1.0,-0.11165900712169444,-0.4999999999999997
1,525,1,0,0,2024,0.6234898018587336,-0.12874817745258066,-0.4999999999999997
2,525,1,0,0,2024,-0.22252093395631434,-0.14579919691987442,-0.4999999999999997
3,525,1,0,0,2024,-0.900968867902419,-0.16280701293851646,-0.4999999999999997
4,525,1,0,0,2024,-0.9009688679024191,-0.17976658572556214,-0.4999999999999997
5,525,1,0,0,2024,-0.2225209339563146,-0.19667288979357622,-0.4999999999999997
6,525,0,0,0,2024,0.6234898018587334,-0.2135209154397959,-0.4999999999999997
7,525,0,0,0,2024,1.0,-0.23030567023061196,-0.4999999999999997
1,525,1,0,0,2024,0.6234898018587336,-0.24702218048093527,-0.4999999999999997
2,525,1,0,0,2024,-0.22252093395631434,-0.2636654927280072,-0.4999999999999997
3,525,1,0,0,2024,-0.900968867902419,-0.2802306751992161,-0.4999999999999997
4,525,1,0,0,2024,-0.9009688679024191,-0.2967128192734901,-0.4999999999999997
5,525,1,0,0,2024,-0.2225209339563146,-0.3131070409358267,-0.4999999999999997
6,525,0,0,0,2024,0.6234898018587334,-0.3294084822245302,-0.4999999999999997
7,525,0,0,0,2024,1.0,-0.3456123126707333,-0.4999999999999997
1,525,1,0,0,2024,0.6234898018587336,-0.3617137307297674,-0.4999999999999997
2,525,1,0,0,2024,-0.22252093395631434,-0.37770796520396466,-0.4999999999999997
3,525,1,0,0,2024,-0.900968867902419,-0.39359027665646645,-0.4999999999999997
4,525,1,0,0,2024,-0.9009688679024191,-0.4093559588156211,-0.4999999999999997
5,525,1,0,0,2024,-0.2225209339563146,-0.42500033996955394,-0.4999999999999997
6,525,0,0,0,2024,0.6234898018587334,-0.4405187843504952,-0.4999999999999997
7,525,0,0,0,2024,1.0,-0.455906693508459,-0.4999999999999997
1,525,1,0,0,2024,0.6234898018587336,-0.47115950767386394,-0.4999999999999997
2,525,1,0,0,2024,-0.22252093395631434,-0.4862727071086902,-0.4999999999999997
3,525,1,0,0,2024,-0.900968867902419,-0.5012418134457756,-0.4999999999999997
